timestamp,block_height,bits,transaction_count,block_size
2022-05-14 19:25:42.000000 UTC,1667708,1c0139a8,4,6704
2022-05-14 19:23:14.000000 UTC,1667707,1c013a34,6,7202
2022-05-14 19:21:39.000000 UTC,1667706,1c013ab6,1,1714
2022-05-14 19:21:28.000000 UTC,1667705,1c013f41,7,9014
2022-05-14 19:18:45.000000 UTC,1667704,1c013e1d,5,12953
2022-05-14 19:18:22.000000 UTC,1667703,1c013ca3,5,6922
2022-05-14 19:17:30.000000 UTC,1667702,1c01452e,3,5254
2022-05-14 19:16:53.000000 UTC,1667701,1c014714,3,2115
2022-05-14 19:16:26.000000 UTC,1667700,1c0148a9,2,4066
2022-05-14 19:16:16.000000 UTC,1667699,1c014723,4,7808
2022-05-14 19:14:48.000000 UTC,1667698,1c0139a7,5,38492
2022-05-14 19:13:34.000000 UTC,1667697,1c013b96,13,16662
2022-05-14 19:11:47.000000 UTC,1667696,1c013c16,2,1966
2022-05-14 19:11:11.000000 UTC,1667695,1c013d2b,1,1693
2022-05-14 19:11:04.000000 UTC,1667694,1c013b12,3,2494
2022-05-14 19:10:12.000000 UTC,1667693,1c014fc0,8,13419
2022-05-14 19:05:51.000000 UTC,1667692,1c01518c,2,1943
2022-05-14 19:04:51.000000 UTC,1667691,1c0154e1,5,7129
2022-05-14 19:03:45.000000 UTC,1667690,1c015e79,10,8444
2022-05-14 19:01:30.000000 UTC,1667689,1c016327,5,6949
2022-05-14 19:00:30.000000 UTC,1667688,1c0161e0,6,44491
2022-05-14 18:59:38.000000 UTC,1667687,1c0160c7,4,8011
2022-05-14 18:59:09.000000 UTC,1667686,1c016343,2,1937
2022-05-14 18:58:38.000000 UTC,1667685,1c0155f9,2,4087
2022-05-14 18:58:25.000000 UTC,1667684,1c015a73,1,1714
2022-05-14 18:58:24.000000 UTC,1667683,1c015b15,4,6851
2022-05-14 18:57:35.000000 UTC,1667682,1c015f54,2,5044
2022-05-14 18:56:53.000000 UTC,1667681,1c015c87,2,1937
2022-05-14 18:56:35.000000 UTC,1667680,1c015a47,9,15916
2022-05-14 18:52:53.000000 UTC,1667679,1c01592b,4,4521
2022-05-14 18:52:05.000000 UTC,1667678,1c015120,1,2671
2022-05-14 18:51:52.000000 UTC,1667677,1c01559b,1,1714
2022-05-14 18:51:44.000000 UTC,1667676,1c0146e6,3,2531
2022-05-14 18:51:15.000000 UTC,1667675,1c014650,7,12613
2022-05-14 18:50:09.000000 UTC,1667674,1c0143c8,3,3743
2022-05-14 18:49:18.000000 UTC,1667673,1c013d10,7,10066
2022-05-14 18:47:03.000000 UTC,1667672,1c01396a,2,1937
2022-05-14 18:46:57.000000 UTC,1667671,1c01402a,19,30126
2022-05-14 18:40:52.000000 UTC,1667670,1c013de1,6,8138
2022-05-14 18:39:47.000000 UTC,1667669,1c014384,4,5529
2022-05-14 18:38:14.000000 UTC,1667668,1c01414f,10,12093
2022-05-14 18:35:05.000000 UTC,1667667,1c013d8a,4,7013
2022-05-14 18:33:16.000000 UTC,1667666,1c013b71,6,11138
2022-05-14 18:32:15.000000 UTC,1667665,1c01407c,4,10412
2022-05-14 18:31:17.000000 UTC,1667664,1c014879,5,10055
2022-05-14 18:29:50.000000 UTC,1667663,1c014ad0,1,1714
2022-05-14 18:29:12.000000 UTC,1667662,1c014b7a,11,9994
2022-05-14 18:26:47.000000 UTC,1667661,1c014e8b,2,4087
